"","MLP","DBN","SAE","RNN","LSTM","GRU","CART","NB","RF","LR","SVM","XGB"
"1",0.5676,0.568,0.5683,0.5843,0.5825,0.5844,0.5266,0.593,0.5912,0.5859,0.5831,0.5891
"2",0.5615,0.5618,0.5621,0.5669,0.5626,0.5694,0.5052,0.5752,0.5663,0.5654,0.563,0.5599
"3",0.556,0.556,0.5564,0.5507,0.5442,0.5553,0.4847,0.5585,0.5429,0.5463,0.5438,0.5324
"4",0.5507,0.5506,0.551,0.5353,0.5269,0.5418,0.4652,0.5424,0.5205,0.5278,0.5253,0.5061
"5",0.5457,0.5454,0.546,0.5206,0.5101,0.5289,0.447,0.5277,0.4996,0.5105,0.5084,0.4818
"6",0.541,0.5407,0.5412,0.5071,0.4946,0.517,0.4303,0.5138,0.4803,0.4947,0.4924,0.4594
"7",0.5649,0.5653,0.5656,0.5778,0.5751,0.5785,0.519,0.5861,0.5824,0.5782,0.5759,0.5788
"8",0.5594,0.5597,0.56,0.5619,0.5571,0.5648,0.4991,0.57,0.5597,0.5595,0.5574,0.5521
"9",0.5539,0.5539,0.5544,0.5458,0.5389,0.5508,0.4788,0.5534,0.5364,0.5406,0.5383,0.5249
"10",0.5487,0.5486,0.5491,0.5305,0.5215,0.5375,0.4597,0.5375,0.5141,0.5223,0.52,0.4988
"11",0.5438,0.5436,0.5441,0.5163,0.5052,0.5249,0.4418,0.5231,0.4938,0.5054,0.5034,0.475
"12",0.5394,0.539,0.5396,0.5032,0.4902,0.5132,0.4255,0.5097,0.4751,0.49,0.488,0.4532
"13",0.5628,0.5631,0.5635,0.5729,0.5697,0.5741,0.5134,0.5811,0.5758,0.5726,0.5704,0.5713
"14",0.5573,0.5574,0.5578,0.5568,0.5515,0.5602,0.4931,0.5647,0.5527,0.5535,0.5515,0.5442
"15",0.5518,0.5518,0.5523,0.5408,0.5336,0.5463,0.4729,0.5482,0.5297,0.5349,0.5326,0.5172
"16",0.5469,0.5467,0.5472,0.526,0.5164,0.5334,0.4543,0.533,0.5082,0.5171,0.515,0.4918
"17",0.5421,0.5417,0.5423,0.512,0.5004,0.5209,0.4368,0.5187,0.4881,0.5004,0.4986,0.4685
"18",0.5377,0.5373,0.5379,0.4993,0.4858,0.5096,0.4209,0.5055,0.4699,0.4855,0.4835,0.4473
"19",0.5606,0.5609,0.5612,0.5678,0.564,0.5694,0.5074,0.5759,0.569,0.5668,0.5646,0.5635
"20",0.5552,0.5553,0.5558,0.5518,0.546,0.5556,0.4872,0.5595,0.546,0.5478,0.5459,0.5365
"21",0.5499,0.5498,0.5503,0.5362,0.5284,0.5422,0.4675,0.5434,0.5233,0.5295,0.5273,0.5099
"22",0.545,0.5448,0.5453,0.5216,0.5114,0.5292,0.4491,0.5284,0.502,0.512,0.5098,0.4849
"23",0.5405,0.5401,0.5407,0.508,0.496,0.5172,0.4321,0.5146,0.4827,0.4959,0.494,0.4622
"24",0.5362,0.5357,0.5363,0.4955,0.4816,0.5063,0.4166,0.5017,0.4651,0.4815,0.4793,0.4417
"25",0.5587,0.5589,0.5593,0.563,0.5588,0.5652,0.5019,0.571,0.5627,0.5613,0.5593,0.5562
"26",0.5533,0.5533,0.5537,0.547,0.5407,0.5513,0.4815,0.5544,0.5395,0.5424,0.5404,0.529
"27",0.548,0.5479,0.5484,0.5316,0.5232,0.538,0.462,0.5386,0.5171,0.5242,0.522,0.5026
"28",0.5432,0.5429,0.5435,0.5172,0.5067,0.5253,0.444,0.5241,0.4964,0.507,0.5051,0.4782
"29",0.5388,0.5384,0.5391,0.5041,0.4917,0.5137,0.4274,0.5106,0.4775,0.4914,0.4897,0.4564
"30",0.5347,0.5341,0.5347,0.4918,0.4774,0.5029,0.4123,0.4979,0.4602,0.4773,0.4752,0.4361
